2.921939050395114812e-01,9.916728518861914754e-01
4.175517413973384162e-02,8.575651618964835743e-01
7.550612988786246094e-01,5.064482660033200467e-01
3.273664655920325295e-01,5.608865833162413050e-02
7.401035882885109718e-01,1.439560122488675598e-01
6.140155767930077779e-01,4.932268120199730932e-01
6.580469438071059329e-01,2.926546291830380842e-01
5.270487562811712046e-01,7.445142988560339292e-01
2.553488122601444976e-01,4.806183163572765871e-01
5.747070146562265336e-01,8.336465875554657234e-01
4.955096068055098169e-01,6.631040094770404014e-01
9.749610786336663226e-01,9.104866281102494963e-01
2.131345283541306035e-01,1.436791317948334923e-01
7.209907542954760995e-01,3.385078305312982927e-01
8.966150246301828330e-01,6.025894804366136448e-01
9.655217036279001297e-01,8.125596869289681834e-01
3.175184809314771650e-01,6.861417083413530182e-01
2.064651992375452494e-01,2.073198077407798490e-01
8.718205546656857541e-01,8.800227410367427172e-01
9.009487449618680532e-02,7.076037689759514526e-01
7.342933694481457163e-02,4.581858608099669272e-01
8.953017004761254505e-01,6.053468098629155580e-01
1.796788714371000406e-01,2.612534661691416904e-01
1.203944511133125950e-01,1.796093082620749959e-01
8.887334764741176008e-01,1.996351921077957892e-01
1.037911241368871806e-03,7.258045482537606174e-01
5.324658770893444526e-01,5.847389216398759526e-01
6.434600985253835503e-01,3.237213758032367883e-01
9.309411015822419699e-01,5.684044824651748318e-01
6.776875549252254771e-01,3.161751132173865608e-01
